model,query_variant_strategy,video_id,queries,mean_top1_iou,mean_best_iou_at_k,recall_top1_iou_030,recall_at_k_iou_030,recall_at_k_iou_050
CG-DETR,the_video_shows,5,6,0.13899390362645678,0.27700659603485883,0.16666666666666666,0.3333333333333333,0.3333333333333333
CG-DETR,short_action,5,6,0.07029101648237181,0.16142089730788226,0.0,0.16666666666666666,0.0
CG-DETR,cleaned,5,6,0.06874990829840864,0.26848176134545204,0.0,0.3333333333333333,0.16666666666666666
CG-DETR,raw_vlm,5,6,0.06847620021097149,0.2754687811555853,0.0,0.3333333333333333,0.16666666666666666
CG-DETR,screen_text,5,6,0.035909479384367886,0.28764776100138073,0.0,0.5,0.16666666666666666
CG-DETR,find_moment,5,6,0.034160412174489965,0.18381672101868154,0.0,0.16666666666666666,0.16666666666666666
Moment-DETR,find_moment,5,6,0.12186282207415598,0.16535665710721692,0.0,0.16666666666666666,0.0
Moment-DETR,cleaned,5,6,0.08417158533633827,0.23839350426938674,0.0,0.16666666666666666,0.16666666666666666
Moment-DETR,the_video_shows,5,6,0.08397105266445727,0.13666112597841862,0.0,0.0,0.0
Moment-DETR,raw_vlm,5,6,0.08300405093253951,0.13596790466875427,0.0,0.0,0.0
Moment-DETR,short_action,5,6,0.07893581886439781,0.2795105568545056,0.16666666666666666,0.3333333333333333,0.16666666666666666
Moment-DETR,screen_text,5,6,0.0,0.31189384478898036,0.0,0.5,0.3333333333333333
QD-DETR,the_video_shows,5,6,0.1375894331315355,0.20252108581674189,0.16666666666666666,0.3333333333333333,0.16666666666666666
QD-DETR,raw_vlm,5,6,0.1351926833719759,0.22972103770961727,0.16666666666666666,0.3333333333333333,0.16666666666666666
QD-DETR,cleaned,5,6,0.1351926833719759,0.2120652853525382,0.16666666666666666,0.3333333333333333,0.16666666666666666
QD-DETR,find_moment,5,6,0.13492135374211275,0.18033385374211272,0.16666666666666666,0.16666666666666666,0.16666666666666666
QD-DETR,screen_text,5,6,0.0,0.07985845495798026,0.0,0.16666666666666666,0.0
QD-DETR,short_action,5,6,0.0,0.07985845495798026,0.0,0.16666666666666666,0.0
