model,query_variant_strategy,video_id,queries,mean_top1_iou,mean_best_iou_at_k,recall_top1_iou_030,recall_at_k_iou_030,recall_at_k_iou_050
CG-DETR,screen_text,8,3,0.09688431727117609,0.30884300358014644,0.0,0.3333333333333333,0.3333333333333333
CG-DETR,short_action,8,3,0.09688431727117609,0.2613233812164381,0.0,0.3333333333333333,0.3333333333333333
CG-DETR,the_video_shows,8,3,0.08297384785074392,0.4168346799284269,0.0,0.6666666666666666,0.3333333333333333
CG-DETR,cleaned,8,3,0.0,0.4023803104932356,0.0,0.6666666666666666,0.3333333333333333
CG-DETR,raw_vlm,8,3,0.0,0.4023803104932356,0.0,0.6666666666666666,0.3333333333333333
CG-DETR,find_moment,8,3,0.0,0.37606410225276515,0.0,0.6666666666666666,0.3333333333333333
Moment-DETR,short_action,8,3,0.15773301372238413,0.2467991781209121,0.0,0.0,0.0
Moment-DETR,screen_text,8,3,0.15773301372238413,0.23075653690010087,0.0,0.0,0.0
Moment-DETR,the_video_shows,8,3,0.03747167464858627,0.4027835605381973,0.0,0.6666666666666666,0.3333333333333333
Moment-DETR,cleaned,8,3,0.026105894041387287,0.19134242041286367,0.0,0.0,0.0
Moment-DETR,raw_vlm,8,3,0.026105894041387287,0.19134242041286367,0.0,0.0,0.0
Moment-DETR,find_moment,8,3,0.021240541224788318,0.4426606116688468,0.0,0.3333333333333333,0.3333333333333333
QD-DETR,find_moment,8,3,0.10872567312060377,0.3150435714285715,0.3333333333333333,0.3333333333333333,0.3333333333333333
QD-DETR,cleaned,8,3,0.0,0.3226184523809523,0.0,0.3333333333333333,0.3333333333333333
QD-DETR,raw_vlm,8,3,0.0,0.3226184523809523,0.0,0.3333333333333333,0.3333333333333333
QD-DETR,the_video_shows,8,3,0.0,0.25454583333333336,0.0,0.3333333333333333,0.3333333333333333
QD-DETR,screen_text,8,3,0.0,0.21248095238095233,0.0,0.3333333333333333,0.0
QD-DETR,short_action,8,3,0.0,0.11926666666666669,0.0,0.3333333333333333,0.0
