model,query_variant_strategy,video_id,queries,mean_top1_iou,mean_best_iou_at_k,recall_top1_iou_030,recall_at_k_iou_030,recall_at_k_iou_050
CG-DETR,raw_vlm,7,4,0.21230336048314324,0.4409065694376282,0.25,0.75,0.5
CG-DETR,screen_text,7,4,0.2002069204351637,0.442774100099288,0.25,0.75,0.5
CG-DETR,short_action,7,4,0.2002069204351637,0.442774100099288,0.25,0.75,0.5
CG-DETR,cleaned,7,4,0.19708499726207185,0.44019539856830076,0.25,0.75,0.5
CG-DETR,the_video_shows,7,4,0.19253094992848252,0.43625826267901185,0.25,0.75,0.5
CG-DETR,find_moment,7,4,0.18622970989106127,0.4338310579089897,0.25,0.75,0.5
Moment-DETR,cleaned,7,4,0.011332728921124207,0.27013614679587267,0.0,0.25,0.25
Moment-DETR,raw_vlm,7,4,0.011332728921124207,0.26748350444828944,0.0,0.25,0.25
Moment-DETR,screen_text,7,4,0.010508318910665629,0.28464501487772426,0.0,0.25,0.25
Moment-DETR,short_action,7,4,0.010508318910665629,0.28464501487772426,0.0,0.25,0.25
Moment-DETR,the_video_shows,7,4,0.0,0.2790345124183815,0.0,0.25,0.25
Moment-DETR,find_moment,7,4,0.0,0.24943176835240657,0.0,0.25,0.25
QD-DETR,the_video_shows,7,4,0.03243467656140533,0.07150070066539024,0.0,0.0,0.0
QD-DETR,cleaned,7,4,0.031732029358473565,0.07482446667802858,0.0,0.0,0.0
QD-DETR,raw_vlm,7,4,0.031732029358473565,0.07482446667802858,0.0,0.0,0.0
QD-DETR,find_moment,7,4,0.028832572837631833,0.20173673967405492,0.0,0.25,0.0
QD-DETR,screen_text,7,4,0.0,0.2102467146066069,0.0,0.25,0.25
QD-DETR,short_action,7,4,0.0,0.2102467146066069,0.0,0.25,0.25
